folder	movie	subtitle_count	subdir_count	other_file_count
/Volumes/导演们/让·雷诺阿/风中双骑	/Volumes/导演们/让·雷诺阿/风中双骑/风中双骑.Saddle.the.Wind.1958.mkv	1	0	0
/Volumes/导演们/韦斯·安德森/水中生活	/Volumes/导演们/韦斯·安德森/水中生活/水中生活.The.Life.Aquatic.with.Steve.Zissou.2004.DVD.SCREENER.XViD-TheFly.avi	1	0	0
/Volumes/导演们/埃里克·侯麦/德莱叶	/Volumes/导演们/埃里克·侯麦/德莱叶/德莱叶.Cinéastes.de.notre.temps.Carl.Th.Dreyer.1965.avi	1	0	0
/Volumes/导演们/安杰伊·瓦依达/伊乌扎的陶瓷	/Volumes/导演们/安杰伊·瓦依达/伊乌扎的陶瓷/伊乌扎的陶瓷.Ceramika.ilzecka.1951.mkv	2	1	0
/Volumes/导演们/安杰伊·瓦依达/桦树林	/Volumes/导演们/安杰伊·瓦依达/桦树林/桦树林.Brzezina.1970.XVID-KG.avi	2	0	0
/Volumes/导演们/荻上直子/厕所	/Volumes/导演们/荻上直子/厕所/厕所.Toilet.2010.DVDRip.XviD-MOC.mp4	1	0	0
/Volumes/导演们/多罗塔·肯杰尔扎沃斯卡/候鸟	/Volumes/导演们/多罗塔·肯杰尔扎沃斯卡/候鸟/候鸟.Wrony.1994.mp4	1	0	0
/Volumes/导演们/多罗塔·肯杰尔扎沃斯卡/我是	/Volumes/导演们/多罗塔·肯杰尔扎沃斯卡/我是/我是.Jestem.2005.DVDRip.XViD-DvF.mp4	1	0	0
/Volumes/导演们/多罗塔·肯杰尔扎沃斯卡/死期将至	/Volumes/导演们/多罗塔·肯杰尔扎沃斯卡/死期将至/死期将至.Time.To.Die.2007.DVDRip.XviD-RESERVED.mp4	2	0	0
/Volumes/导演们/弗里茨·朗/夜澜人未静	/Volumes/导演们/弗里茨·朗/夜澜人未静/夜澜人未静.While.The.City.Sleeps.1956.mkv	1	0	0
